Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Disease,Prescription 1,Prescription 2,Prescription 3
headache,nausea,runny nose,sore throat,congestion,Sinusitis,N/A,N/A,N/A
fever,vomiting,nausea,diarrhea,chest pain,Gastroenteritis,N/A,N/A,N/A
headache,fatigue,fever,body ache,chills,Influenza,N/A,N/A,N/A
joint pain,fever,rash,headache,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
headache,runny nose,congestion,sore throat,,Sinusitis,N/A,N/A,N/A
runny nose,chest pain,congestion,sore throat,headache,Sinusitis,N/A,N/A,N/A
congestion,nausea,fever,diarrhea,vomiting,Gastroenteritis,N/A,N/A,N/A
fever,chills,headache,body ache,fatigue,Influenza,N/A,N/A,N/A
sore throat,body ache,vomiting,fever,nausea,Malaria,Chloroquine,Artemether,Primaquine
runny nose,shortness of breath,sore throat,congestion,headache,Sinusitis,N/A,N/A,N/A
nausea,diarrhea,joint pain,vomiting,fever,Gastroenteritis,N/A,N/A,N/A
cough,fatigue,vomiting,fever,loss of appetite,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
fever,joint pain,headache,rash,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
sneezing,fever,runny nose,itchy eyes,vomiting,Allergic Rhinitis,N/A,N/A,N/A
rash,vomiting,fever,nausea,body ache,Malaria,Chloroquine,Artemether,Primaquine
sore throat,cough,sneezing,runny nose,congestion,Common Cold,Antihistamines,Decongestants,Rest & Fluids
diarrhea,nausea,fever,vomiting,,Gastroenteritis,N/A,N/A,N/A
cough,shortness of breath,runny nose,sore throat,sneezing,Common Cold,Antihistamines,Decongestants,Rest & Fluids
chest pain,cough,sneezing,runny nose,congestion,Common Cold,Antihistamines,Decongestants,Rest & Fluids
cough,fever,chest pain,shortness of breath,,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
body ache,diarrhea,vomiting,fever,nausea,Gastroenteritis,N/A,N/A,N/A
sore throat,fever,sneezing,congestion,runny nose,Common Cold,Antihistamines,Decongestants,Rest & Fluids
cough,fever,shortness of breath,loss of appetite,fatigue,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
runny nose,joint pain,nausea,sneezing,itchy eyes,Allergic Rhinitis,N/A,N/A,N/A
runny nose,sneezing,congestion,diarrhea,sore throat,Common Cold,Antihistamines,Decongestants,Rest & Fluids
runny nose,congestion,sneezing,sore throat,cough,Common Cold,Antihistamines,Decongestants,Rest & Fluids
vomiting,fever,body ache,nausea,chills,Malaria,Chloroquine,Artemether,Primaquine
headache,nausea,blurred vision,vomiting,fever,Migraine,N/A,N/A,N/A
diarrhea,nausea,dizziness,vomiting,fever,Gastroenteritis,N/A,N/A,N/A
nausea,fever,diarrhea,dizziness,vomiting,Gastroenteritis,N/A,N/A,N/A
nausea,congestion,shortness of breath,runny nose,cough,Common Cold,Antihistamines,Decongestants,Rest & Fluids
cough,diarrhea,fever,chest pain,shortness of breath,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
cough,fever,diarrhea,shortness of breath,chest pain,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
chills,rash,chest pain,fever,headache,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
fever,vomiting,cough,nausea,diarrhea,Gastroenteritis,N/A,N/A,N/A
headache,blurred vision,nausea,dizziness,runny nose,Migraine,N/A,N/A,N/A
headache,joint pain,rash,fever,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
cough,loss of appetite,shortness of breath,chest pain,fever,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
headache,sore throat,rash,joint pain,fever,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
congestion,headache,sore throat,runny nose,fatigue,Sinusitis,N/A,N/A,N/A
chills,fever,body ache,fatigue,headache,Influenza,N/A,N/A,N/A
shortness of breath,cough,chest pain,blurred vision,fever,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
diarrhea,vomiting,fever,nausea,runny nose,Gastroenteritis,N/A,N/A,N/A
body ache,fever,blurred vision,chills,vomiting,Malaria,Chloroquine,Artemether,Primaquine
headache,joint pain,fever,rash,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
fever,headache,joint pain,rash,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
rash,cough,headache,joint pain,fever,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
cough,fatigue,fever,loss of appetite,shortness of breath,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
blurred vision,nausea,fatigue,headache,vomiting,Migraine,N/A,N/A,N/A
sore throat,chills,congestion,body ache,runny nose,Sinusitis,N/A,N/A,N/A
loss of appetite,shortness of breath,fatigue,cough,fever,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
rash,headache,joint pain,fever,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
cough,chest pain,shortness of breath,loss of appetite,fever,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
vomiting,body ache,fever,chills,nausea,Malaria,Chloroquine,Artemether,Primaquine
rash,fever,joint pain,headache,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
runny nose,sneezing,itchy eyes,vomiting,congestion,Allergic Rhinitis,N/A,N/A,N/A
chills,blurred vision,vomiting,headache,nausea,Migraine,N/A,N/A,N/A
cough,shortness of breath,fever,chest pain,,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
dizziness,fever,fatigue,chills,body ache,Influenza,N/A,N/A,N/A
headache,sore throat,runny nose,congestion,,Sinusitis,N/A,N/A,N/A
diarrhea,itchy eyes,congestion,sneezing,runny nose,Allergic Rhinitis,N/A,N/A,N/A
fever,cough,chills,loss of appetite,shortness of breath,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
runny nose,sneezing,itchy eyes,congestion,,Allergic Rhinitis,N/A,N/A,N/A
congestion,sore throat,cough,sneezing,runny nose,Common Cold,Antihistamines,Decongestants,Rest & Fluids
vomiting,blurred vision,nausea,headache,,Migraine,N/A,N/A,N/A
joint pain,sneezing,chills,fever,body ache,Malaria,Chloroquine,Artemether,Primaquine
fever,blurred vision,nausea,vomiting,diarrhea,Gastroenteritis,N/A,N/A,N/A
blurred vision,chest pain,chills,fever,cough,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
vomiting,nausea,chills,body ache,fever,Malaria,Chloroquine,Artemether,Primaquine
fever,nausea,diarrhea,vomiting,,Gastroenteritis,N/A,N/A,N/A
joint pain,fatigue,fever,body ache,chills,Influenza,N/A,N/A,N/A
chest pain,cough,shortness of breath,fever,runny nose,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
congestion,blurred vision,runny nose,sore throat,rash,Common Cold,Antihistamines,Decongestants,Rest & Fluids
runny nose,congestion,fever,chills,sneezing,Allergic Rhinitis,N/A,N/A,N/A
nausea,shortness of breath,congestion,sneezing,runny nose,Allergic Rhinitis,N/A,N/A,N/A
headache,fever,vomiting,chills,body ache,Influenza,N/A,N/A,N/A
fever,fatigue,cough,loss of appetite,shortness of breath,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
vomiting,blurred vision,headache,nausea,,Migraine,N/A,N/A,N/A
chest pain,fever,body ache,shortness of breath,runny nose,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
cough,sore throat,runny nose,congestion,shortness of breath,Common Cold,Antihistamines,Decongestants,Rest & Fluids
loss of appetite,fatigue,shortness of breath,sneezing,fever,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
diarrhea,chest pain,cough,shortness of breath,fever,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
runny nose,congestion,sneezing,fatigue,itchy eyes,Allergic Rhinitis,N/A,N/A,N/A
fever,cough,shortness of breath,loss of appetite,fatigue,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
vomiting,nausea,headache,blurred vision,chills,Migraine,N/A,N/A,N/A
vomiting,runny nose,body ache,fever,chills,Malaria,Chloroquine,Artemether,Primaquine
chest pain,nausea,fever,diarrhea,vomiting,Gastroenteritis,N/A,N/A,N/A
nausea,chest pain,fever,diarrhea,vomiting,Gastroenteritis,N/A,N/A,N/A
joint pain,rash,fever,headache,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
fever,chest pain,cough,shortness of breath,,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
joint pain,rash,headache,fever,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
runny nose,headache,sore throat,congestion,blurred vision,Sinusitis,N/A,N/A,N/A
runny nose,congestion,sneezing,itchy eyes,,Allergic Rhinitis,N/A,N/A,N/A
chills,vomiting,fever,body ache,nausea,Malaria,Chloroquine,Artemether,Primaquine
cough,loss of appetite,vomiting,sore throat,fatigue,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
nausea,blurred vision,headache,vomiting,runny nose,Migraine,N/A,N/A,N/A
nausea,chills,body ache,vomiting,fever,Malaria,Chloroquine,Artemether,Primaquine
headache,runny nose,fatigue,chills,body ache,Influenza,N/A,N/A,N/A
joint pain,headache,fever,rash,fatigue,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
nausea,fever,vomiting,diarrhea,runny nose,Gastroenteritis,N/A,N/A,N/A
chest pain,fever,shortness of breath,cough,,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
fever,headache,nausea,diarrhea,vomiting,Gastroenteritis,N/A,N/A,N/A
shortness of breath,congestion,fever,cough,chest pain,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
runny nose,sneezing,congestion,itchy eyes,,Allergic Rhinitis,N/A,N/A,N/A
cough,joint pain,body ache,congestion,runny nose,Common Cold,Antihistamines,Decongestants,Rest & Fluids
sneezing,runny nose,cough,congestion,nausea,Common Cold,Antihistamines,Decongestants,Rest & Fluids
chills,vomiting,fever,body ache,nausea,Malaria,Chloroquine,Artemether,Primaquine
joint pain,vomiting,headache,nausea,blurred vision,Migraine,N/A,N/A,N/A
rash,joint pain,headache,fever,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
fever,cough,shortness of breath,chest pain,blurred vision,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
vomiting,congestion,headache,blurred vision,nausea,Migraine,N/A,N/A,N/A
runny nose,nausea,congestion,headache,sore throat,Sinusitis,N/A,N/A,N/A
loss of appetite,cough,fever,shortness of breath,fatigue,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
cough,fever,shortness of breath,chest pain,dizziness,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
loss of appetite,shortness of breath,cough,fatigue,fever,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
sneezing,itchy eyes,congestion,runny nose,,Allergic Rhinitis,N/A,N/A,N/A
fever,nausea,vomiting,diarrhea,,Gastroenteritis,N/A,N/A,N/A
fever,joint pain,rash,dizziness,headache,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
cough,congestion,sneezing,sore throat,runny nose,Common Cold,Antihistamines,Decongestants,Rest & Fluids
headache,body ache,fatigue,fever,chills,Influenza,N/A,N/A,N/A
dizziness,loss of appetite,cough,fatigue,shortness of breath,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
cough,sore throat,congestion,headache,runny nose,Common Cold,Antihistamines,Decongestants,Rest & Fluids
cough,chest pain,shortness of breath,fever,,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
shortness of breath,fever,cough,chest pain,,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
headache,blurred vision,nausea,vomiting,,Migraine,N/A,N/A,N/A
cough,vomiting,headache,blurred vision,nausea,Migraine,N/A,N/A,N/A
fatigue,shortness of breath,cough,loss of appetite,fever,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
nausea,chest pain,fever,cough,shortness of breath,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
rash,congestion,joint pain,fever,headache,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
headache,fever,diarrhea,joint pain,rash,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
fever,fatigue,body ache,chills,headache,Influenza,N/A,N/A,N/A
cough,fatigue,loss of appetite,fever,shortness of breath,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
headache,shortness of breath,joint pain,fever,rash,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
chest pain,cough,headache,shortness of breath,fever,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
vomiting,fever,cough,shortness of breath,chest pain,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
congestion,cough,fever,shortness of breath,sneezing,Common Cold,Antihistamines,Decongestants,Rest & Fluids
headache,fever,joint pain,rash,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
headache,congestion,sore throat,loss of appetite,runny nose,Sinusitis,N/A,N/A,N/A
headache,fever,joint pain,rash,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
cough,shortness of breath,fever,chest pain,,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
congestion,sore throat,runny nose,headache,,Sinusitis,N/A,N/A,N/A
diarrhea,nausea,fever,rash,vomiting,Gastroenteritis,N/A,N/A,N/A
fatigue,fever,chills,body ache,headache,Influenza,N/A,N/A,N/A
chills,fever,joint pain,rash,dizziness,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
runny nose,sneezing,congestion,itchy eyes,,Allergic Rhinitis,N/A,N/A,N/A
nausea,vomiting,fever,diarrhea,,Gastroenteritis,N/A,N/A,N/A
headache,blurred vision,nausea,sore throat,sneezing,Migraine,N/A,N/A,N/A
fever,fatigue,chills,body ache,headache,Influenza,N/A,N/A,N/A
fatigue,chest pain,fever,cough,shortness of breath,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
fever,body ache,chills,fatigue,diarrhea,Influenza,N/A,N/A,N/A
rash,cough,fever,chest pain,shortness of breath,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
runny nose,congestion,cough,sore throat,sneezing,Common Cold,Antihistamines,Decongestants,Rest & Fluids
body ache,fatigue,chills,cough,headache,Influenza,N/A,N/A,N/A
headache,rash,joint pain,fever,nausea,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
chills,sneezing,joint pain,rash,headache,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
fever,sneezing,diarrhea,vomiting,nausea,Gastroenteritis,N/A,N/A,N/A
shortness of breath,fatigue,cough,fever,loss of appetite,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
blurred vision,headache,vomiting,nausea,,Migraine,N/A,N/A,N/A
nausea,blurred vision,headache,fever,body ache,Migraine,N/A,N/A,N/A
cough,fatigue,chills,loss of appetite,shortness of breath,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
sneezing,runny nose,congestion,fatigue,sore throat,Common Cold,Antihistamines,Decongestants,Rest & Fluids
cough,fatigue,fever,shortness of breath,loss of appetite,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
cough,congestion,headache,shortness of breath,chest pain,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
nausea,chills,body ache,fever,vomiting,Malaria,Chloroquine,Artemether,Primaquine
vomiting,nausea,fever,diarrhea,,Gastroenteritis,N/A,N/A,N/A
headache,fever,rash,joint pain,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
vomiting,cough,nausea,diarrhea,fever,Gastroenteritis,N/A,N/A,N/A
sore throat,runny nose,congestion,headache,,Sinusitis,N/A,N/A,N/A
headache,joint pain,body ache,fever,rash,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
congestion,sore throat,runny nose,chills,sneezing,Common Cold,Antihistamines,Decongestants,Rest & Fluids
body ache,itchy eyes,sneezing,runny nose,congestion,Allergic Rhinitis,N/A,N/A,N/A
rash,fever,headache,congestion,joint pain,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
headache,sore throat,runny nose,congestion,,Sinusitis,N/A,N/A,N/A
fever,headache,fatigue,body ache,chills,Influenza,N/A,N/A,N/A
cough,chest pain,shortness of breath,fever,,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
runny nose,nausea,cough,body ache,sore throat,Common Cold,Antihistamines,Decongestants,Rest & Fluids
chills,fever,fatigue,body ache,headache,Influenza,N/A,N/A,N/A
headache,dizziness,sore throat,sneezing,runny nose,Common Cold,Antihistamines,Decongestants,Rest & Fluids
runny nose,itchy eyes,sneezing,congestion,,Allergic Rhinitis,N/A,N/A,N/A
cough,dizziness,fever,loss of appetite,fatigue,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
headache,chills,shortness of breath,cough,fever,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
runny nose,headache,sore throat,congestion,,Sinusitis,N/A,N/A,N/A
headache,vomiting,body ache,nausea,blurred vision,Migraine,N/A,N/A,N/A
runny nose,congestion,headache,itchy eyes,sneezing,Allergic Rhinitis,N/A,N/A,N/A
headache,congestion,sore throat,runny nose,cough,Common Cold,Antihistamines,Decongestants,Rest & Fluids
fever,body ache,nausea,chills,vomiting,Malaria,Chloroquine,Artemether,Primaquine
vomiting,joint pain,nausea,body ache,fever,Malaria,Chloroquine,Artemether,Primaquine
congestion,sore throat,runny nose,headache,loss of appetite,Sinusitis,N/A,N/A,N/A
blurred vision,runny nose,sore throat,congestion,headache,Sinusitis,N/A,N/A,N/A
joint pain,headache,rash,nausea,fever,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
fatigue,chills,headache,fever,body ache,Influenza,N/A,N/A,N/A
vomiting,diarrhea,nausea,fever,,Gastroenteritis,N/A,N/A,N/A
shortness of breath,loss of appetite,cough,fever,fatigue,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
sneezing,runny nose,headache,congestion,itchy eyes,Allergic Rhinitis,N/A,N/A,N/A
blurred vision,nausea,vomiting,headache,,Migraine,N/A,N/A,N/A
headache,cough,fever,chest pain,shortness of breath,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
diarrhea,sore throat,sneezing,cough,runny nose,Common Cold,Antihistamines,Decongestants,Rest & Fluids
sore throat,fever,diarrhea,nausea,blurred vision,Gastroenteritis,N/A,N/A,N/A
cough,shortness of breath,chest pain,fever,runny nose,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
congestion,itchy eyes,sneezing,runny nose,,Allergic Rhinitis,N/A,N/A,N/A
fatigue,chills,headache,fever,body ache,Influenza,N/A,N/A,N/A
rash,headache,fever,joint pain,chills,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
vomiting,chills,nausea,fever,body ache,Malaria,Chloroquine,Artemether,Primaquine
runny nose,itchy eyes,congestion,sneezing,,Allergic Rhinitis,N/A,N/A,N/A
rash,fever,headache,joint pain,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
fever,vomiting,dizziness,nausea,body ache,Malaria,Chloroquine,Artemether,Primaquine
sore throat,runny nose,sneezing,cough,congestion,Common Cold,Antihistamines,Decongestants,Rest & Fluids
fever,loss of appetite,cough,fatigue,shortness of breath,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
sore throat,runny nose,congestion,sneezing,cough,Common Cold,Antihistamines,Decongestants,Rest & Fluids
runny nose,diarrhea,congestion,headache,sore throat,Sinusitis,N/A,N/A,N/A
vomiting,nausea,fever,diarrhea,blurred vision,Gastroenteritis,N/A,N/A,N/A
itchy eyes,congestion,blurred vision,runny nose,body ache,Allergic Rhinitis,N/A,N/A,N/A
joint pain,headache,nausea,fever,rash,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
headache,congestion,vomiting,blurred vision,nausea,Migraine,N/A,N/A,N/A
sneezing,blurred vision,runny nose,congestion,itchy eyes,Allergic Rhinitis,N/A,N/A,N/A
vomiting,joint pain,headache,blurred vision,nausea,Migraine,N/A,N/A,N/A
fever,chest pain,shortness of breath,cough,,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
body ache,fatigue,chills,fever,headache,Influenza,N/A,N/A,N/A
congestion,sneezing,runny nose,itchy eyes,sore throat,Allergic Rhinitis,N/A,N/A,N/A
sore throat,runny nose,congestion,headache,,Sinusitis,N/A,N/A,N/A
fever,diarrhea,chest pain,vomiting,nausea,Gastroenteritis,N/A,N/A,N/A
nausea,diarrhea,vomiting,fever,fatigue,Gastroenteritis,N/A,N/A,N/A
nausea,diarrhea,vomiting,fever,chest pain,Gastroenteritis,N/A,N/A,N/A
vomiting,diarrhea,fever,nausea,,Gastroenteritis,N/A,N/A,N/A
runny nose,congestion,sneezing,itchy eyes,,Allergic Rhinitis,N/A,N/A,N/A
vomiting,chills,nausea,chest pain,sneezing,Malaria,Chloroquine,Artemether,Primaquine
chest pain,cough,fever,shortness of breath,,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
fatigue,chills,headache,sneezing,body ache,Influenza,N/A,N/A,N/A
fever,itchy eyes,runny nose,sneezing,cough,Allergic Rhinitis,N/A,N/A,N/A
runny nose,cough,congestion,sore throat,joint pain,Common Cold,Antihistamines,Decongestants,Rest & Fluids
loss of appetite,congestion,cough,sore throat,runny nose,Common Cold,Antihistamines,Decongestants,Rest & Fluids
vomiting,cough,chest pain,shortness of breath,fever,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
fatigue,chills,fever,headache,body ache,Influenza,N/A,N/A,N/A
nausea,headache,sore throat,diarrhea,congestion,Sinusitis,N/A,N/A,N/A
cough,runny nose,congestion,sore throat,sneezing,Common Cold,Antihistamines,Decongestants,Rest & Fluids
fever,vomiting,nausea,chills,body ache,Malaria,Chloroquine,Artemether,Primaquine
vomiting,diarrhea,nausea,fever,,Gastroenteritis,N/A,N/A,N/A
fever,nausea,vomiting,diarrhea,,Gastroenteritis,N/A,N/A,N/A
fever,cough,shortness of breath,fatigue,loss of appetite,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
shortness of breath,loss of appetite,dizziness,fever,fatigue,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
chest pain,cough,fever,shortness of breath,,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
chest pain,headache,body ache,vomiting,blurred vision,Migraine,N/A,N/A,N/A
fever,diarrhea,joint pain,chest pain,headache,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
fever,nausea,diarrhea,vomiting,,Gastroenteritis,N/A,N/A,N/A
headache,rash,fever,joint pain,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
congestion,runny nose,sneezing,sore throat,cough,Common Cold,Antihistamines,Decongestants,Rest & Fluids
fever,congestion,sneezing,sore throat,runny nose,Common Cold,Antihistamines,Decongestants,Rest & Fluids
joint pain,headache,fever,rash,blurred vision,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
runny nose,congestion,cough,sore throat,sneezing,Common Cold,Antihistamines,Decongestants,Rest & Fluids
chest pain,cough,shortness of breath,fever,,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
sore throat,chills,headache,runny nose,congestion,Sinusitis,N/A,N/A,N/A
headache,chills,body ache,fatigue,fever,Influenza,N/A,N/A,N/A
headache,vomiting,blurred vision,nausea,sneezing,Migraine,N/A,N/A,N/A
vomiting,sore throat,chills,fever,headache,Influenza,N/A,N/A,N/A
fever,nausea,headache,joint pain,rash,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
fever,nausea,diarrhea,vomiting,,Gastroenteritis,N/A,N/A,N/A
cough,sneezing,congestion,dizziness,runny nose,Common Cold,Antihistamines,Decongestants,Rest & Fluids
headache,chills,chest pain,fever,body ache,Influenza,N/A,N/A,N/A
fever,nausea,body ache,chills,vomiting,Malaria,Chloroquine,Artemether,Primaquine
headache,rash,fever,joint pain,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
body ache,nausea,chills,fever,vomiting,Malaria,Chloroquine,Artemether,Primaquine
runny nose,loss of appetite,congestion,sneezing,itchy eyes,Allergic Rhinitis,N/A,N/A,N/A
rash,fever,vomiting,body ache,dizziness,Malaria,Chloroquine,Artemether,Primaquine
chills,vomiting,rash,fever,body ache,Malaria,Chloroquine,Artemether,Primaquine
congestion,runny nose,sore throat,headache,,Sinusitis,N/A,N/A,N/A
shortness of breath,fatigue,cough,loss of appetite,fever,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
nausea,vomiting,diarrhea,fever,,Gastroenteritis,N/A,N/A,N/A
cough,headache,sore throat,congestion,runny nose,Common Cold,Antihistamines,Decongestants,Rest & Fluids
chest pain,fever,shortness of breath,cough,,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
body ache,sneezing,itchy eyes,congestion,runny nose,Allergic Rhinitis,N/A,N/A,N/A
loss of appetite,fatigue,cough,shortness of breath,fever,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
fever,headache,rash,joint pain,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
cough,headache,fever,shortness of breath,chest pain,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
headache,runny nose,joint pain,rash,fever,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
fever,joint pain,runny nose,blurred vision,headache,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
sneezing,itchy eyes,runny nose,congestion,,Allergic Rhinitis,N/A,N/A,N/A
sneezing,itchy eyes,congestion,runny nose,,Allergic Rhinitis,N/A,N/A,N/A
runny nose,nausea,congestion,sneezing,itchy eyes,Allergic Rhinitis,N/A,N/A,N/A
itchy eyes,sneezing,congestion,runny nose,,Allergic Rhinitis,N/A,N/A,N/A
blurred vision,headache,fever,vomiting,nausea,Migraine,N/A,N/A,N/A
fatigue,loss of appetite,shortness of breath,fever,cough,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
nausea,loss of appetite,vomiting,blurred vision,headache,Migraine,N/A,N/A,N/A
headache,rash,joint pain,congestion,fever,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
congestion,runny nose,itchy eyes,sneezing,,Allergic Rhinitis,N/A,N/A,N/A
chest pain,joint pain,fever,headache,rash,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
headache,runny nose,sore throat,congestion,,Sinusitis,N/A,N/A,N/A
sneezing,sore throat,congestion,cough,runny nose,Common Cold,Antihistamines,Decongestants,Rest & Fluids
runny nose,headache,sore throat,congestion,,Sinusitis,N/A,N/A,N/A
fever,joint pain,rash,headache,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
body ache,fatigue,rash,fever,headache,Influenza,N/A,N/A,N/A
body ache,nausea,fever,vomiting,chills,Malaria,Chloroquine,Artemether,Primaquine
loss of appetite,headache,joint pain,shortness of breath,fever,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
cough,loss of appetite,shortness of breath,fever,fatigue,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
loss of appetite,shortness of breath,fatigue,body ache,fever,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
vomiting,nausea,blurred vision,headache,,Migraine,N/A,N/A,N/A
fever,headache,joint pain,rash,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
vomiting,joint pain,body ache,fever,chills,Malaria,Chloroquine,Artemether,Primaquine
rash,itchy eyes,congestion,runny nose,sneezing,Allergic Rhinitis,N/A,N/A,N/A
joint pain,headache,fever,rash,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
vomiting,chills,nausea,fever,dizziness,Malaria,Chloroquine,Artemether,Primaquine
vomiting,chills,body ache,nausea,fever,Malaria,Chloroquine,Artemether,Primaquine
runny nose,congestion,sore throat,headache,,Sinusitis,N/A,N/A,N/A
nausea,fever,vomiting,chills,body ache,Malaria,Chloroquine,Artemether,Primaquine
headache,fatigue,nausea,vomiting,blurred vision,Migraine,N/A,N/A,N/A
